Address,BBL,BIN,BoroCD,Borough,CT2010,CouncilDistrict,Items_Accepted,Latitude,Longitude,NTAName,Nonprofit_Organization,Number,ObjectId,Operations_Type,Public_Email,Public_Phone,Street,Unit,Vendor_Name,Website,point,zipcode,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
1104 Elder Ave,2037400000,2023840,209,Bronx,5002,18,"Clothing, Shoes, Accessories, Coats",40.82634,-73.87836,Soundview-Bruckner,TRUE,1104,226,Nonprofit Organizations/Thrift Stores,feedmysheepfoodpantry@gmail.com,347-235-3723,Elder Ave,,Feed My Sheep Community Pantry,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=2116&BId=2072,POINT (-73.878364 40.82634),10472,11610,58,5,31,26
211-60 Hillside Ave,4105880000,4225962,413,Queens,548,23,"Clothing, Shoes",40.72443,-73.75413,Queens Village,FALSE,211-60,449,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Hillside Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.754131 40.72443400000001),11427,24336,63,3,16,63
1385 SUTTER AVE,3042540000,3095583,305,Brooklyn,1200,42,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.67365,-73.86687,East New York,FALSE,1385,17,Publicly Accessible Donation Bins,info@usagain.com,(718) 277-0136,SUTTER AVE,,USAGAIN LLC,http://www.usagain.com/,POINT (-73.8668652 40.67365179999999),11208,17215,45,2,25,47
108-46 Merrick Blvd,4101790000,4216669,412,Queens,258,27,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.69744,-73.78543,South Jamaica,FALSE,108-46,916,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Merrick Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.78542800000001 40.697439),11433,24668,41,3,6,61
600 Richmond Terrace,5000620000,5001471,501,Staten Island,81,49,"Clothing, Shoes, Coats",40.64544,-74.09203,West New Brighton-New Brighton-St. George,FALSE,600,257,Publicly Accessible Donation Bins,N/A,631-225-5246,Richmond Terrace,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-74.092023 40.645438),10301,10369,4,1,13,74
2085 Rockaway Pkwy,3083290000,3331431,318,Brooklyn,1034,46,"Clothing, Shoes, Coats",40.63293,-73.88691,Canarsie,TRUE,2085,51,Nonprofit Organizations/Thrift Stores,N/A,(347) 216-5909,Rockaway Pkwy,,Bay View Houses Resident Association,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=424&BId=427,POINT (-73.886906 40.632929999999995),11236,13827,5,2,8,42
845 E 231 St,2048560000,2064179,212,Bronx,422,12,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels",40.89081,-73.85351,Williamsbridge-Olinville,TRUE,845,375,Nonprofit Organizations/Thrift Stores,JSFOODPANTRY@GMAIL.COM,718-669-0217,E 231 St,,"J&S CARING FOOD PANTRY, INC",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=804&BId=749,POINT (-73.853507 40.890809999999995),10466,11275,29,5,2,30
486 Broadway,1004730000,1079892,102,Manhattan,45,1,Contact store for details,40.72154,-73.99969,SoHo-TriBeCa-Civic Center-Little Italy,FALSE,486,128,Retail Store Takeback Programs,contactus@madewell.com,212-226-6954,Broadway,,Madewell,https://www.madewell.com/inspo-do-well-denim-recycling-landing.html,POINT (-73.999692 40.72154299999999),10013,12076,57,4,32,2
584 Gates Ave,3018150000,3332253,303,Brooklyn,265,36,"Clothing, Shoes",40.687,-73.94193,Bedford,FALSE,584,492,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Gates Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.941929 40.686996),11221,18181,69,2,49,51
4521 7 Ave,3007500000,3011708,307,Brooklyn,94,38,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.6446,-74.00323,Sunset Park East,FALSE,4521,943,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,7 Ave,,Helpsy,https://www.helpsy.co/,POINT (-74.003227 40.644602),11220,18180,9,2,7,45
127-20 Rockaway Blvd,4117490000,4254803,410,Queens,840,28,"Clothing, Shoes",40.67491,-73.8102,South Ozone Park,FALSE,127-20,462,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Rockaway Blvd,,Usagain LLC,http://www.usagain.com/,POINT (-73.810201 40.674912),11420,24016,62,3,46,64
900 Richmond Rd,5031680000,5046375,502,Staten Island,50,50,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.60485,-74.09197,Grasmere-Arrochar-Ft. Wadsworth,FALSE,900,687,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Richmond Rd,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.09197 40.604851),10304,10691,30,1,14,76
180 W 9 St,3004787000,3008153,306,Brooklyn,77,39,"used clothing, textiles and shoes",40.67499,-73.99904,Carroll Gardens-Columbia Street-Red Hook,FALSE,180,282,Publicly Accessible Donation Bins,info@wearablecollections.com,646.515.4387,W 9 St,,Wareable Collections,http://wearablecollections.com/dropspot/,POINT (-73.99904 40.67499),11231,13514,14,2,27,48
1018 Morris Park Ave,2041020000,2044779,211,Bronx,252,13,"Clothing, Shoes",40.8482,-73.85548,Van Nest-Morris Park-Westchester Square,FALSE,1018,551,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Morris Park Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.855483 40.84820199999999),10462,11271,59,5,12,32
840 New York Ave,3048530000,3108072,317,Brooklyn,818,40,"Clothing, Shoes, Accessories",40.65324,-73.94724,Erasmus,FALSE,840,657,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,New York Ave,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.947242 40.653244999999984),11203,13510,61,2,11,40
1065 E 163 St,2027420000,2094370,202,Bronx,119,17,"Clothing, Shoes",40.82121,-73.89074,Hunts Point,FALSE,1065,534,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,E 163 St,,Usagain LLC,http://www.usagain.com/,POINT (-73.89074100000002 40.821211),10459,10937,8,5,43,24
1293 Broadway,1008090000,1015199,105,Manhattan,101,3,"Clothes and home textiles from any brand, in clean and dry condition. Bring in your items and receive 15% off your next purchase. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/.",40.7498,-73.9883,Midtown-Midtown South,FALSE,1293,806,Retail Store Takeback Programs,info@hm.com,855-466-7467,Broadway,,H&M,https://about.hm.com/en/sustainability/get-involved/recycle-your-clothes.html,POINT (-73.988298 40.749802399999986),10001,11722,11,4,10,8
87-36 Lefferts Blvd,4093280000,4438590,409,Queens,122,29,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.69891,-73.83072,Richmond Hill,FALSE,87-36,911,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Lefferts Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.830719 40.698915),11418,24014,46,3,28,60
1090 Bay St,5028450000,5042587,501,Staten Island,8,49,"Clothing, Shoes, Accessories",40.61624,-74.06804,Stapleton-Rosebank,TRUE,1090,69,Nonprofit Organizations/Thrift Stores,N/A,(718) 447-2140,Bay St,,Bay Street Thrift,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=243&BId=292,POINT (-74.068038 40.616243),10305,10692,4,1,13,74
614 W 114 St,1018950000,1057354,109,Manhattan,199,7,"Clothing, Shoes, Coats",40.80688,-73.96586,Morningside Heights,TRUE,614,213,Nonprofit Organizations/Thrift Stores,ciemergencyfoodprograms@gmail.com,212-854-6310,W 114 St,Ford Hall,Community Impact at Columbia University: Food Pantry,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3419&BId=3383,POINT (-73.96586 40.806877),10025,12422,37,4,23,17
2390 Mcdonald Ave,3071460000,3329369,315,Brooklyn,398,47,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.5942,-73.97392,Gravesend,FALSE,2390,749,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Mcdonald Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.973912 40.59419799999999),11223,18183,32,2,45,36
58-01 Queens Blvd,4013340000,4031397,402,Queens,249,26,"Clothing, Shoes, Coats, Towels",40.74221,-73.90681,Woodside,TRUE,Jan-58,832,Publicly Accessible Donation Bins,N/A,866-931-0232,Queens Blvd,,Carecycle Inc,carecyclecares.com/,POINT (-73.90681800000002 40.74220999999999),11377,14787,53,3,33,66
411 E 143 St,2022880000,2000490,201,Bronx,41,8,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels, Rugs",40.81219,-73.91979,Mott Haven-Port Morris,TRUE,411,374,Nonprofit Organizations/Thrift Stores,stmarys411@gmail.com,718-665-9446,E 143 St,,"ST. MARY'S DEVELOPMENT CENTER FOR CHILDREN AND FAMILIES, INC.",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=95&BId=191,POINT (-73.919793 40.812195),10454,10932,49,5,35,23
245 W 10 St,1006200000,1011183,102,Manhattan,73,3,"Clothing, Shoes, Coats, Accessories",40.73394,-74.0059,West Village,TRUE,245,239,Nonprofit Organizations/Thrift Stores,info@housingworks.org,347-473-7400,W 10 St,,Housing Works,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=66&BId=117,POINT (-74.005895 40.73393500000002),10014,12077,57,4,10,3
65-01 Grand Ave,4027160000,4060748,405,Queens,517,30,Contact store for details,40.7233,-73.90094,Maspeth,FALSE,Jan-65,346,Organizations/Thrift Stores,N/A,718-417-7353,Grand Ave,,On the Road Again,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=813&BId=759,POINT (-73.900941 40.723304),11378,14788,54,3,34,62
615 Jackson Ave,2026230000,2004434,201,Bronx,73,8,"Clothing, Shoes",40.81504,-73.90871,Melrose South-Mott Haven North,FALSE,615,546,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Jackson Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.908703 40.815042999999996),10455,10933,49,5,35,23
5702 Ave U,3084700000,3238576,318,Brooklyn,698,46,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.61353,-73.91711,Georgetown-Marine Park-Bergen Beach-Mill Basin,FALSE,5702,97,Publicly Accessible Donation Bins,info@recyclingtech.com,(888) 243-3273,Ave U,,American Recycling Technologies Inc.,http://www.americanrecyclingtech.com/,POINT (-73.917118 40.613524),11234,13825,5,2,8,38
4027 White Plains Rd,2048290000,2063071,212,Bronx,408,12,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.88943,-73.85987,Williamsbridge-Olinville,FALSE,4027,1059,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,White Plains Rd,,Helpsy,https://www.helpsy.co/,POINT (-73.859871 40.88943099999999),10466,11275,29,5,2,30
134-35 101 Ave,0,0,409,Queens,152,28,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.69371,-73.81289,Richmond Hill,FALSE,134-35,699,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,101 Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.812886 40.693709),11419,24015,46,3,46,60
535 E 170 St,2029260000,2009624,203,Bronx,14702,16,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.83517,-73.90245,Claremont-Bathgate,FALSE,535,1031,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,E 170 St,,Helpsy,https://www.helpsy.co/,POINT (-73.902454 40.835176000000004),10456,10934,34,5,42,25
90-15 Queens Blvd,4018600000,4045999,404,Queens,683,25,"Clothes and home textiles from any brand, in clean and dry condition. Bring in your items and receive 15% off your next purchase. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/.",40.73454,-73.87047,Elmhurst,FALSE,90-15,801,Retail Store Takeback Programs,info@hm.com,855-466-7467,Queens Blvd,,H&M,https://about.hm.com/en/sustainability/get-involved/recycle-your-clothes.html,POINT (-73.8704718 40.73453549999999),11373,14784,66,3,5,68
2113 1 Ave,1016800000,1052809,111,Manhattan,170,8,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.79142,-73.93906,East Harlem South,TRUE,2113,1069,Textile Recycling at Farmers' Markets,info@greentreetextiles.org,908-245-9300,1 Ave,,Green Tree Textiles at East River Harvest Home Farmer's Market,http://www.greentreetextiles.org/farmersmarkets/,POINT (-73.93905400000001 40.791419),10029,12426,7,4,35,14
1738 E GUN HILL RD,2044940000,2053519,211,Bronx,310,13,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.8647,-73.83572,Allerton-Pelham Gardens,FALSE,1738,333,Publicly Accessible Donation Bins,info@usagain.com,718-379-1188,E GUN HILL RD,,USAGAIN LLC,http://www.usagain.com/,POINT (-73.8357264 40.864702399999985),10469,11607,59,5,12,32
37-21 Rockaway Beach Blvd,4158450000,4301901,414,Queens,992,31,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.59451,-73.77015,Hammels-Arverne-Edgemere,FALSE,37-21,926,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Rockaway Beach Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.770148 40.59450600000001),11691,20529,51,3,47,59
650 Fountain Ave,3045260000,3098937,305,Brooklyn,1116,42,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.6645,-73.87076,East New York,FALSE,650,977,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Fountain Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.870759 40.664500999999994),11208,17215,45,2,25,47
62-59 Fresh Pond Rd,4036080000,4087421,405,Queens,61301,30,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.71229,-73.90013,Ridgewood,FALSE,62-59,894,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Fresh Pond Rd,,Helpsy,https://www.helpsy.co/,POINT (-73.900135 40.712286),11385,15310,54,3,34,62
1579 Metropolitan Ave,2039448000,2096773,209,Bronx,21001,18,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.84074,-73.85797,Parkchester,FALSE,1579,764,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Metropolitan Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.857975 40.840740999999994),10462,11271,58,5,31,26
3315 Ave H,3075610000,3205983,317,Brooklyn,784,45,"Clothing, Shoes, Coats, Other",40.63208,-73.94402,East Flatbush-Farragut,FALSE,3315,1085,Publicly Accessible Donation Bins,N/A,914-573-2266,Ave H,,Standard Recycling Corp,N/A,POINT (-73.944019 40.63207899999999),11210,17217,61,2,26,40
1441 Richmond Ave,5015440000,5151774,502,Staten Island,29104,50,"Clothing, Shoes, Coats, Towels",40.61142,-74.15679,New Springville-Bloomfield-Travis,TRUE,1441,817,Publicly Accessible Donation Bins,N/A,866-931-0232,Richmond Ave,,Carecycle Inc,carecyclecares.com/,POINT (-74.156793 40.61142199999999),10314,10700,30,1,14,75
529 Utica Ave,3046040000,3397055,317,Brooklyn,878,41,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.66048,-73.93071,Prospect Lefferts Gardens-Wingate,FALSE,529,1009,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Utica Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.930708 40.660483),11203,16866,61,2,17,40
1590 Unionport Rd,2039448000,2096681,209,Bronx,21001,18,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.84013,-73.86198,Parkchester,FALSE,1590,779,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Unionport Rd,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.861977 40.84012499999999),10462,11271,58,5,31,26
1243 E Tremont Ave,2040140000,2042513,211,Bronx,240,15,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.84002,-73.87144,Van Nest-Morris Park-Westchester Square,FALSE,1243,1036,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,E Tremont Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.871437 40.840024),10460,11269,59,5,22,32
115-34 Sutphin Blvd,4119940000,4259980,412,Queens,190,28,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.68392,-73.7927,Baisley Park,FALSE,115-34,933,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Sutphin Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.792699 40.68391899999999),11434,24669,41,3,46,71
1041 Bergen St,3012120000,3030352,308,Brooklyn,315,36,"Clothing, Shoes, Bedding And Linens, Towels, Coats",40.67633,-73.95191,Crown Heights North,TRUE,1041,297,Nonprofit Organizations/Thrift Stores,N/A,718.771.0760,Bergen St,,Anchor House: Men's Facility,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3453&BId=3429,POINT (-73.951913 40.676333),11216,17618,16,2,49,49
162-10 Jamaica Ave,4101020000,4215623,412,Queens,44601,27,"Clothing, Shoes, Coats, Accessories",40.70408,-73.79715,Jamaica,FALSE,162-10,245,Organizations/Thrift Stores,N/A,347-901-5750,Jamaica Ave,,MYUNIQUE Thrift Jamaica,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=542&BId=517,POINT (-73.797149 40.704084),11432,24340,41,3,6,61
800 Rockaway Ave,3036020000,3082378,316,Brooklyn,916,42,"Clothing, Shoes, Coats, Other",40.66021,-73.90865,Brownsville,FALSE,800,1103,Publicly Accessible Donation Bins,N/A,914-573-2266,Rockaway Ave,,Standard Recycling Corp,N/A,POINT (-73.908655 40.66021199999999),11212,17614,55,2,25,46
71-30 Beach Channel Dr,4160760000,4303246,414,Queens,954,31,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.59185,-73.80035,Hammels-Arverne-Edgemere,FALSE,71-30,878,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Beach Channel Dr,,Helpsy,https://www.helpsy.co/,POINT (-73.800352 40.591853),11692,20530,51,3,47,58
3120 Ditmars Blvd,4008330000,4017060,401,Queens,115,22,"Clothing, Shoes, Linens, Accessories",40.77554,-73.91027,Steinway,FALSE,3120,363,Organizations/Thrift Stores,N/A,718-545-2529,Ditmars Blvd,,Ditmars Thrift Shop,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=789&BId=733,POINT (-73.910273 40.775539),11105,16862,39,3,4,72
114 5 Ave,1008180000,1015394,105,Manhattan,54,3,"Clothing, Shoes, Purses, Gloves, Scarves, Hats, belts, Towels, Curtains, Bedding and Linens. Clean Rags and Torn Clothing",40.7379,-73.99269,Hudson Yards-Chelsea-Flatiron-Union Square,FALSE,114,40,Retail Store Takeback Programs,flatiron-store@lululemon.com,(212) 627-0314,5 Ave,,Lululemon,https://info.lululemon.com/stores/us/new-york/Flatiron,POINT (-73.99269000000001 40.7379),10011,12074,11,4,10,7
550 Gateway Dr,3044521000,3000000,305,Brooklyn,1070,42,Shoes,40.65429,-73.87057,East New York,FALSE,550,30,Retail Store Takeback Programs,CUSTOMERSERVICE@DSW.COM,(917) 789-7000,Gateway Dr,,DSW,https://www.dsw.com/en/us/content/give-a-pair,POINT (-73.870567 40.654285),11239,13830,45,2,25,47
87-19 Rockaway Blvd,4090600000,4188351,409,Queens,42,32,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.68289,-73.85233,Woodhaven,FALSE,87-19,580,Publicly Accessible Donation Bins,info@usagain.com,718-848-2022,Rockaway Blvd,,Usagain LLC,http://www.usagain.com/,POINT (-73.852331 40.682891),11416,24012,46,3,41,60
1501 Broadway,1010150000,1024706,105,Manhattan,119,3,Denim only.,40.75707,-73.98644,Midtown-Midtown South,FALSE,1501,167,Retail Store Takeback Programs,N/A,212-643-4358,Broadway,,Levi Strauss,https://www.levi.com/US/en_US/blog/article/where-to-recycle-your-clothes/�,POINT (-73.986446 40.75706799999999),10036,13094,11,4,10,8
47-07 Broadway,4007260000,4013205,401,Queens,153,26,"Clothing, Shoes, Coats, Towels",40.75601,-73.91337,Astoria,TRUE,Jul-47,822,Publicly Accessible Donation Bins,N/A,866-931-0232,Broadway,,Carecycle Inc,carecyclecares.com/,POINT (-73.913372 40.75601199999999),11103,16860,39,3,33,72
2008 Webster Ave,2030280000,2011101,206,Bronx,379,15,"Clothing, Shoes",40.85029,-73.89901,Mount Hope,FALSE,2008,570,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Webster Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.899009 40.850287),10457,10935,35,5,22,31
1745 Forest Ave,5014770000,5029213,501,Staten Island,239,49,"Clothing, Shoes",40.62523,-74.147,Mariner's Harbor-Arlington-Port Ivory-Graniteville,FALSE,1745,407,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Forest Ave,,Usagain LLC,http://www.usagain.com/,POINT (-74.147003 40.62522500000001),10303,10371,4,1,13,75
146 Wolcott St,3005640000,3008576,306,Brooklyn,53,38,"Clothing, Shoes",40.6786,-74.01429,Carroll Gardens-Columbia Street-Red Hook,FALSE,146,516,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Wolcott St,,Usagain LLC,http://www.usagain.com/,POINT (-74.01429 40.678604),11231,13514,14,2,7,48
2759 Webster Ave,2032780000,2016403,207,Bronx,40502,15,"Clothing, Shoes, Coats",40.86548,-73.88636,Bedford Park-Fordham North,TRUE,2759,302,Nonprofit Organizations/Thrift Stores,N/A,718-220-4892,Webster Ave,,Part of the Solution (POTS),https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3441&BId=3407,POINT (-73.88636 40.865480999999996),10458,10936,24,5,22,31
4180 Hylan Blvd,5053120000,5068406,503,Staten Island,15603,51,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.5377,-74.14953,Great Kills,FALSE,4180,84,Publicly Accessible Donation Bins,info@recyclingtech.com,(888) 243-3273,Hylan Blvd,,American Recycling Technologies Inc.,http://www.americanrecyclingtech.com/,POINT (-74.14952600000001 40.537703),10308,10695,15,1,9,76
31-02 Astoria Blvd,4006200000,4008674,401,Queens,6501,22,"Clothing, Shoes",40.76978,-73.91814,Astoria,FALSE,Feb-31,425,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Astoria Blvd,,Usagain LLC,http://www.usagain.com/,POINT (-73.918143 40.769780999999995),11102,16859,39,3,4,72
666 5 Ave,1012687000,1034520,105,Manhattan,104,4,Contact store for details,40.76004,-73.97639,Midtown-Midtown South,FALSE,666,179,Retail Store Takeback Programs,N/A,212-765-0477,5 Ave,,Zara,https://www.zara.com/us/en/sustainability-collection-program-l1452.html,POINT (-73.97639760000001 40.7600369),10103,10093,11,4,51,10
157 W 72 St,1011440000,1029921,107,Manhattan,157,6,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs, Other",40.77845,-73.98058,Lincoln Square,TRUE,157,392,Nonprofit Organizations/Thrift Stores,info@goodwillnynj.org,718-728-5400,W 72 St,,Goodwill Industries of Greater New York & Northern New Jersey,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=10&BId=13,POINT (-73.980581 40.778454999999994),10023,12420,20,4,19,12
2236 Forest Ave,5016850000,5156994,501,Staten Island,30302,49,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.62627,-74.16423,Mariner's Harbor-Arlington-Port Ivory-Graniteville,FALSE,2236,672,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Forest Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.164228 40.62626699999999),10303,10371,4,1,13,75
25-03 Parsons Blvd,4047790000,4108020,407,Queens,1047,20,"Clothing, Shoes, Accessories",40.77637,-73.82384,Murray Hill,FALSE,25-Mar,640,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Parsons Blvd,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.823839 40.77637000000001),11354,13832,22,3,3,67
40-08 30 Ave,4006810000,4011283,401,Queens,149,22,"Clothing, Shoes",40.76347,-73.9144,Astoria,FALSE,Aug-40,420,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,30 Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.914397 40.76347200000001),11103,16860,39,3,4,72
146 E 98 St,3046160000,3327577,317,Brooklyn,892,41,"Clothing, Shoes, Coats",40.66333,-73.92156,Brownsville,FALSE,146,277,Publicly Accessible Donation Bins,N/A,631-225-5246,E 98 St,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-73.921561 40.663326999999995),11212,17614,61,2,17,40
1701 Metropolitan Ave,0,0,209,Bronx,21001,18,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.84068,-73.85426,Parkchester,FALSE,1701,769,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Metropolitan Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.854264 40.840683),10462,11271,58,5,31,26
1963 Broadway,1011388000,1028839,107,Manhattan,149,6,"They accept any kind of clothing, fabrics, household linens, footwear, accessories, and jewelry.",40.77433,-73.98253,Lincoln Square,FALSE,1963,2,Retail Store Takeback Programs,N/A,(212) 362-4272,Broadway,,Zara,https://www.zara.com/us/en/sustainability-collection-program-l1452.html,POINT (-73.98252830000001 40.7743337),10023,12420,20,4,19,12
487 Columbus Ave,1011970000,1031216,107,Manhattan,169,6,"Clothing, Shoes, Coats, Accessories",40.78469,-73.97311,Upper West Side,FALSE,487,149,Organizations/Thrift Stores,Info@UBNYC.com,212-362-8877,Columbus Ave,,Unique Boutique Thrift Shop,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=781&BId=725,POINT (-73.97310800000001 40.78469399999998),10024,12421,20,4,19,12
410 W 40 St,1007370000,1013005,104,Manhattan,115,3,"Clothing, Shoes, Coats",40.75723,-73.99433,Clinton,TRUE,410,162,Nonprofit Organizations/Thrift Stores,rmm@rmmnyc.org,212-594-4464,W 40 St,,"Rauschenbusch Metro Ministries, Inc",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3590&BId=3574,POINT (-73.99433000000002 40.75722399999999),10018,12080,12,4,10,6
198-15 Horace Harding Expy,4057060000,4438244,411,Queens,140902,20,"Clothing, Shoes, Coats, Towels",40.74392,-73.77734,Auburndale,TRUE,198-15,827,Publicly Accessible Donation Bins,N/A,866-931-0232,Horace Harding Expy,,Carecycle Inc,carecyclecares.com/,POINT (-73.777347 40.743923),11365,14507,26,3,3,69
3024 Clarendon Rd,3049470000,3111258,317,Brooklyn,828,45,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.64307,-73.94791,Erasmus,FALSE,3024,733,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Clarendon Rd,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.94791 40.643071),11226,13510,61,2,26,40
185 Greenwich St,1000580000,1089309,101,Manhattan,13,1,"Clothing & home textiles from any brand, in clean & dry condition. Bring in your items and receive 10% off your next purchase. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.71177,-74.01101,Battery Park City-Lower Manhattan,FALSE,185,35,Retail Store Takeback Programs,customerservice.us@stories.com,(212) 389-5902,Greenwich St,,& Other Stories,https://www.stories.com/en_usd/customer-service/recycling.html,POINT (-74.01101 40.71177000000001),10007,11727,56,4,32,1
